RECHTSTRAEGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Austrian Power Grid AG;20123;2;0;Der Standard;10531.91
Austrian Power Grid AG;20123;2;0;Die Presse;7309.16
Austrian Power Grid AG;20123;2;0;Kronen Zeitung;7836
Austrian Power Grid AG;20123;2;0;Kurier;6596.01
Austrian Power Grid AG;20123;2;0;ORF Salzburg;11470
AustriaTech - Ges. des Bundes für technologiepolitische Maßnahmen GmbH;20123;2;0;FUTUREZONE;10500
Austro Control Österreichische Ges. für Zivilluftfahrt mit beschränkter Haftung;20123;2;0;Heute;9474.02
Austro Control Österreichische Ges. für Zivilluftfahrt mit beschränkter Haftung;20123;2;0;Österreich;17100.18
Austro Control Österreichische Ges. für Zivilluftfahrt mit beschränkter Haftung;20123;2;0;Sky Revue;5060
Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft;20123;2;0;auto touring;16779
Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft;20123;2;0;ExtraDienst;7000
Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft;20123;2;0;Hitradio Ö3;41662.49
Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft;20123;2;0;Kleine Zeitung;21801.84
Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft;20123;2;0;Kronen Zeitung;38687.58
Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft;20123;2;0;NEWS;7044.37
